"No.","Time","Source","Destination","Protocol","Length","Info"
"135484","260.371648","10.0.0.159","75.75.75.75","DNS","90","Standard query 0x0901 HTTPS www.adsensecustomsearchads.com"
"135485","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1712737 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135486","260.384488","150.250.77.84","10.0.0.159","TLSv1.2","1159","Application Data"
"135487","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1715302 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135488","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1716762 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135489","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1718222 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135490","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1719682 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135491","260.384488","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135492","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1722587 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135493","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1724047 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135494","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1725507 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135495","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1726967 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135496","260.384488","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135497","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1729872 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135498","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1731332 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135499","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1732792 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135500","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1734252 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135501","260.384488","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135502","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1737157 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135503","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1738617 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135504","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1740077 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135505","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1741537 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135506","260.384488","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135507","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1744442 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135508","260.384488","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1745902 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135509","260.385618","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1747362 Win=1065728 Len=0"
"135510","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1747362 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135511","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1748822 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135512","260.387304","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135513","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1751727 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135514","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1753187 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135515","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1754647 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135516","260.387304","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1756107 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135517","260.387458","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1757567 Win=1065728 Len=0"
"135518","260.391709","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135519","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1759012 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135520","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1760472 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135521","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1761932 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135522","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1763392 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135523","260.391709","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135524","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1766297 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135525","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1767757 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135526","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1769217 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135527","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1770677 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135528","260.391709","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135529","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1773582 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135530","260.391709","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1775042 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135531","260.392112","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1776502 Win=1046784 Len=0"
"135532","260.392476","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1776502 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135533","260.392476","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1777962 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135534","260.392568","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1779422 Win=1043712 Len=0"
"135535","260.394998","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135536","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1780867 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135537","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1782327 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135538","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1783787 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135539","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1785247 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135540","260.394998","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135541","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1788152 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135542","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1789612 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135543","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1791072 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135544","260.394998","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1792532 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135545","260.395272","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1793992 Win=1029120 Len=0"
"135546","260.399792","10.0.0.159","74.125.250.129","STUN","62","Binding Request"
"135547","260.400444","10.0.0.159","150.250.77.84","TCP","54","[TCP Window Update] 57730  >  443 [ACK] Seq=11229 Ack=1793992 Win=1065728 Len=0"
"135548","260.401276","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135549","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1795437 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135550","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1796897 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135551","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1798357 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135552","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1799817 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135553","260.401276","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135554","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1802722 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135555","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1804182 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135556","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1805642 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135557","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1807102 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135558","260.401276","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135559","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1810007 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135560","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1811467 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135561","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1812927 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135562","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1814387 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135563","260.401276","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135564","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1817292 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135565","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1818752 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135566","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1820212 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135567","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1821672 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135568","260.401276","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135569","260.401276","150.250.77.84","10.0.0.159","TCP","60","443  >  57771 [ACK] Seq=1 Ack=1756 Win=128000 Len=0"
"135570","260.401276","150.250.77.84","10.0.0.159","TCP","1514","443  >  57771 [PSH, ACK] Seq=1 Ack=1756 Win=128000 Len=1460 [TCP segment of a reassembled PDU]"
"135571","260.402404","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1824577 Win=1065728 Len=0"
"135572","260.405776","150.250.77.84","10.0.0.159","TCP","1514","443  >  57771 [PSH, ACK] Seq=1461 Ack=1756 Win=128000 Len=1460 [TCP segment of a reassembled PDU]"
"135573","260.405776","18.238.80.110","10.0.0.159","TCP","60","443  >  57767 [ACK] Seq=19860 Ack=3266 Win=75264 Len=0"
"135574","260.405776","150.250.77.84","10.0.0.159","TCP","1514","443  >  57771 [PSH, ACK] Seq=2921 Ack=1756 Win=128000 Len=1460 [TCP segment of a reassembled PDU]"
"135575","260.405776","150.250.77.84","10.0.0.159","TLSv1.2","531","Server Hello, Certificate"
"135576","260.405776","13.107.42.14","10.0.0.159","TCP","60","443  >  57770 [ACK] Seq=1 Ack=1441 Win=4193024 Len=0"
"135577","260.405776","18.238.80.110","10.0.0.159","TLSv1.3","1373","Application Data"
"135578","260.405776","18.238.80.110","10.0.0.159","TLSv1.3","1399","Application Data"
"135579","260.405776","75.75.76.76","10.0.0.159","DNS","140","Standard query response 0xc0fa A www.youvisit.com A 108.138.106.67 A 108.138.106.129 A 108.138.106.23 A 108.138.106.47"
"135580","260.405776","75.75.76.76","10.0.0.159","DNS","154","Standard query response 0xa522 AAAA www.youvisit.com SOA ns-501.awsdns-62.com"
"135581","260.405776","75.75.76.76","10.0.0.159","DNS","154","Standard query response 0x3c26 HTTPS www.youvisit.com SOA ns-501.awsdns-62.com"
"135582","260.405776","13.107.42.14","10.0.0.159","TCP","60","443  >  57770 [ACK] Seq=1 Ack=2103 Win=4194560 Len=0"
"135583","260.405776","13.107.42.14","10.0.0.159","TCP","1514","443  >  57770 [ACK] Seq=1 Ack=2103 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"135584","260.405776","13.107.42.14","10.0.0.159","TCP","1514","443  >  57770 [ACK] Seq=1461 Ack=2103 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"135585","260.405776","13.107.42.14","10.0.0.159","TCP","1514","443  >  57770 [ACK] Seq=2921 Ack=2103 Win=4194560 Len=1460 [TCP segment of a reassembled PDU]"
"135586","260.405776","13.107.42.14","10.0.0.159","TLSv1.2","265","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"135587","260.405776","150.250.77.84","10.0.0.159","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"135588","260.405776","108.138.106.47","10.0.0.159","TCP","66","443  >  57774 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"135589","260.405776","108.138.106.47","10.0.0.159","TCP","66","443  >  57775 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"135590","260.406470","10.0.0.159","150.250.77.84","TCP","54","57771  >  443 [ACK] Seq=1756 Ack=4858 Win=65536 Len=0"
"135591","260.406592","10.0.0.159","18.238.80.110","TCP","54","57767  >  443 [ACK] Seq=3266 Ack=22524 Win=66048 Len=0"
"135592","260.406888","10.0.0.159","13.107.42.14","TCP","54","57770  >  443 [ACK] Seq=2103 Ack=4592 Win=66048 Len=0"
"135593","260.406933","10.0.0.159","108.138.106.47","TCP","54","57774  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"135594","260.406972","10.0.0.159","108.138.106.47","TCP","54","57775  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"135605","260.407474","10.0.0.159","150.250.77.84","TLSv1.2","204","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"135606","260.409209","10.0.0.159","108.138.106.47","TCP","1494","57774  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=1440 [TCP segment of a reassembled PDU]"
"135607","260.409209","10.0.0.159","108.138.106.47","TLSv1.3","436","Client Hello (SNI=www.youvisit.com)"
"135608","260.409936","10.0.0.159","108.138.106.47","TCP","1494","57775  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=1440 [TCP segment of a reassembled PDU]"
"135609","260.409936","10.0.0.159","108.138.106.47","TLSv1.3","436","Client Hello (SNI=www.youvisit.com)"
"135614","260.416557","10.0.0.159","13.107.42.14","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"135617","260.425001","10.0.0.159","13.107.42.14","TLSv1.2","153","Application Data"
"135618","260.427702","10.0.0.159","13.107.42.14","TCP","1494","57770  >  443 [ACK] Seq=2360 Ack=4592 Win=66048 Len=1440 [TCP segment of a reassembled PDU]"
"135619","260.427702","10.0.0.159","13.107.42.14","TLSv1.2","91","Application Data"
"135620","260.433847","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1824577 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135621","260.433847","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1826037 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135622","260.434091","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1827497 Win=1065728 Len=0"
"135623","260.434351","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1827497 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135624","260.435758","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1828957 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135625","260.435758","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135626","260.435758","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1831862 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135627","260.435758","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1833322 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135628","260.435758","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1834782 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135629","260.436386","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1836242 Win=1065728 Len=0"
"135630","260.436680","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1836242 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135631","260.436680","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135632","260.436680","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1839147 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135633","260.436786","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1840607 Win=1065728 Len=0"
"135634","260.437999","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1840607 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135635","260.437999","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1842067 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135636","260.437999","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1843527 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135637","260.438106","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1844987 Win=1065728 Len=0"
"135638","260.439458","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135639","260.439458","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1846432 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135640","260.439458","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1847892 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135641","260.439458","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1849352 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135642","260.439458","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1850812 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135643","260.439458","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135644","260.439576","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1853717 Win=1065728 Len=0"
"135645","260.440925","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1853717 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135646","260.440925","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1855177 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135647","260.440925","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1856637 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135648","260.440925","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1858097 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135649","260.440925","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135650","260.440925","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1861002 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135651","260.441070","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1862462 Win=1065728 Len=0"
"135652","260.441225","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1862462 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135653","260.442108","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1863922 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135654","260.442200","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1865382 Win=1065728 Len=0"
"135655","260.443427","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1865382 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135656","260.443427","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135657","260.443427","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1868287 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135658","260.443427","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1869747 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135659","260.443427","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1871207 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135660","260.443538","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1872667 Win=1065728 Len=0"
"135661","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1872667 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135662","260.445463","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135663","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1875572 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135664","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1877032 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135665","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1878492 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135666","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1879952 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135667","260.445463","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135668","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1882857 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135669","260.445463","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1884317 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135670","260.445604","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1885777 Win=1065728 Len=0"
"135671","260.447020","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1885777 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135672","260.447020","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1887237 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135673","260.447020","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
"135674","260.447446","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1890142 Win=1065728 Len=0"
"135675","260.448008","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1890142 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135676","260.448008","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1891602 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135677","260.448008","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1893062 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135678","260.448150","10.0.0.159","150.250.77.84","TCP","54","57730  >  443 [ACK] Seq=11229 Ack=1894522 Win=1065728 Len=0"
"135679","260.449512","150.250.77.84","10.0.0.159","TCP","1514","443  >  57730 [ACK] Seq=1894522 Ack=11229 Win=129536 Len=1460 [TCP segment of a reassembled PDU]"
"135680","260.449512","150.250.77.84","10.0.0.159","TLSv1.2","1499","Application Data"
